Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
26	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.900856	0.16613986	-98.71288	-100.07455	270000	-1.525879e-08	0.03594902	-0.004717762	-0.01458236	0.7838006	0.012756523	0.193	79.0	2077.9865357875824
27	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.98533	0.14650185	-99.17342	-100.1429	280000	0.0	0.022003364	-0.005714285	-0.0042354073	0.7121507	0.015054961	0.1256	37.0	2154.049435377121
28	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.98539	0.14637707	-99.07355	-100.14997	290000	-4.577637e-09	0.021052837	-0.006764211	-0.0032373443	0.6869046	0.015007439	0.1198	59.0	2231.1591272354126
29	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.9995	0.13171606	-99.316124	-100.143684	300000	8.392334e-09	0.017232662	-0.0059960694	-0.0023195865	0.6896009	0.008369054	0.1195	79.0	2310.373794555664
30	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.9782	0.1427683	-98.95088	-100.13481	310000	9.346008e-09	0.0210979	-0.0048775007	-0.0041956566	0.67174596	0.004646212	0.0662	79.0	2398.085883617401
31	-2000.0	0.0	-2000.0	-2000.0	2000.0	-100.014946	0.10209834	-99.25139	-100.1445	320000	4.577637e-09	0.010774115	-0.0060416264	-0.0013623945	0.6346092	0.010331814	0.0678	79.0	2475.6608941555023
32	-2000.0	0.0	-2000.0	-2000.0	2000.0	-100.02054	0.087096415	-99.41417	-100.128044	330000	3.8146972e-10	0.008204574	-0.004780004	-0.001326262	0.6200299	0.0077644493	0.1043	79.0	2553.268236398697
33	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.99786	0.082486436	-99.587975	-100.10204	340000	-4.7683715e-09	0.0070023253	-0.0032993045	-0.0007233275	0.59570116	0.0052842195	0.0192	79.0	2630.910053253174
34	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.99542	0.10067778	-99.27241	-100.09962	350000	-1.07288365e-08	0.01017709	-0.0075752013	-0.002167332	0.58403856	0.015647192	0.1079	45.0	2707.8713948726654
35	-2000.0	0.0	-2000.0	-2000.0	2000.0	-100.00783	0.06777057	-99.4634	-100.10068	360000	-7.6293943e-10	0.004683558	-0.007121575	-0.00036227237	0.55156195	0.008120053	0.0969	79.0	2785.399770259857
36	-2000.0	0.0	-2000.0	-2000.0	2000.0	-100.007935	0.061790276	-99.6076	-100.09316	370000	1.5258789e-09	0.0038931596	-0.007524248	-0.00026726048	0.5476624	0.008739803	0.1179	79.0	2863.000317335129
37	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.99186	0.067880474	-99.55051	-100.08503	380000	-7.247925e-09	0.004680875	-0.0052036936	-0.0003995411	0.48026922	0.006654717	0.1001	79.0	2940.9583263397217
38	-2000.0	0.0	-2000.0	-2000.0	2000.0	-100.003265	0.0657957	-99.492294	-100.0916	390000	-2.670288e-09	0.0043813623	-0.0046993424	-0.00031375932	0.4658523	0.003958764	0.0395	79.0	3018.37450671196
39	-2000.0	0.0	-2000.0	-2000.0	2000.0	-100.00311	0.074598595	-99.50157	-100.08618	400000	-4.196167e-09	0.0056488635	-0.0039989534	-0.00084322924	0.48490453	0.0062479577	0.0561	79.0	3096.0655448436737
40	-2000.0	0.0	-2000.0	-2000.0	2000.0	-100.00053	0.048543293	-99.51202	-100.08077	410000	-1.1253357e-08	0.0023758032	-0.004561595	-0.00017078826	0.4334232	0.0042259395	0.0549	79.0	3174.023058652878
41	-2000.0	0.0	-2000.0	-2000.0	2000.0	-100.000435	0.054522514	-99.530075	-100.078384	420000	7.6293943e-10	0.003087589	-0.0043787677	-0.00018680398	0.44398755	0.007037374	0.0366	79.0	3251.7707827091217
42	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.99348	0.05712372	-99.53578	-100.07579	430000	-4.577637e-09	0.003274126	-0.010693985	-0.00024576113	0.4087606	0.009837057	0.0532	79.0	3329.231924057007
43	-2000.0	0.0	-2000.0	-2000.0	2000.0	-100.00801	0.041107975	-99.66785	-100.07976	440000	3.8146972e-10	0.0017486085	-0.0059426627	-0.00017669948	0.43727905	0.008203695	0.066	79.0	3407.8371958732605
44	-2000.0	0.0	-2000.0	-2000.0	2000.0	-100.001335	0.04169747	-99.674614	-100.07211	450000	-6.4849854e-09	0.0017947499	-0.0030128898	-0.000115146046	0.43276256	0.00416154	0.0378	79.0	3486.2747507095337
45	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.99787	0.042768598	-99.40123	-100.068436	460000	-3.0517577e-09	0.0018567741	-0.0065398924	-9.6153e-05	0.39887345	0.006027591	0.0367	79.0	3564.550929069519
46	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.99912	0.04489261	-99.569824	-100.070335	470000	-6.4849854e-09	0.0020128342	-0.004434681	-9.826303e-05	0.35653195	0.007703044	0.0571	79.0	3642.446379184723
47	-2000.0	0.0	-2000.0	-2000.0	2000.0	-99.99511	0.047137395	-99.562515	-100.07016	480000	4.673004e-09	0.0022343078	-0.009114733	-0.00015178393	0.35432792	0.007749385	0.0419	79.0	3720.4804089069366
48	-2000.0	0.0	-2000.0	-2000.0	2000.0	-100.00431	0.04512918	-99.136955	-100.073456	490000	8.201599e-09	0.0021338554	-0.003668121	-0.00014069234	0.36331555	0.0030022499	0.0428	79.0	3798.8609850406647
49	-2000.0	0.0	-2000.0	-2000.0	2000.0	-100.00078	0.04457327	-99.730576	-100.066536	500000	-1.1444092e-09	0.001982217	-0.0025470324	-0.00010327785	0.34770757	0.0028008053	0.0315	79.0	3876.7552144527435
